"Date","Game","Earnings","Players","Tournaments"
2000-10-01,"Doom II: Hell on Earth",0,3,1
2000-11-01,"StarCraft: Brood War",17600,16,1
2000-12-01,"Quake III Arena",125060.21,75,4
2000-12-01,"Counter-Strike",23763.33,62,2
2000-12-01,"Age of Empires II",165.53,5,2
2001-01-01,"Quake III Arena",19055.71,12,3
2001-01-01,"StarCraft: Brood War",5257,7,2
2001-01-01,"Counter-Strike",4720.77,35,1
2001-01-01,"Age of Empires II",1200,6,2
2001-02-01,"Quake III Arena",3750,8,1
2001-03-01,"Age of Empires II",1641.29,12,5
2001-04-01,"Counter-Strike",43711.29,41,2
2001-04-01,"Quake III Arena",2272.23,8,3
2001-04-01,"Age of Empires II",200,1,1
2001-05-01,"Quake III Arena",15841.68,16,2
2001-05-01,"Counter-Strike",13131,41,1
2001-05-01,"StarCraft: Brood War",12234.91,16,2
2001-05-01,"Age of Empires II",500,1,1
2001-06-01,"Age of Empires II",500,4,1
2001-07-01,"QuakeWorld",15000,8,1
2001-07-01,"Counter-Strike",1800,16,2
2001-08-01,"Quake III Arena",58197.36,3,2
2001-08-01,"Counter-Strike",13197.36,41,1
2001-08-01,"Age of Empires II",500,1,1
2001-08-01,"Capcom vs. SNK",0,3,1
2001-08-01,"Marvel vs. Capcom 2",0,3,1
2001-08-01,"Street Fighter Alpha 3",0,3,1
2001-08-01,"Super Street Fighter II Turbo",0,3,1
2001-09-01,"Counter-Strike",22792.51,41,1
2001-09-01,"StarCraft: Brood War",7806.4,16,1
2001-10-01,"Counter-Strike",22000,15,2
2001-10-01,"StarCraft: Brood War",13057.6,4,1
2001-11-01,"Age of Empires II",95000,16,1
2001-11-01,"Counter-Strike",5239.51,5,1
2001-11-01,"Quake III Arena",2619.76,8,1
2001-12-01,"Counter-Strike",220000,109,2
2001-12-01,"Age of Empires II",61000,20,5
2001-12-01,"StarCraft: Brood War",53538.08,24,3
2001-12-01,"FIFA 2001",46000,9,2
2001-12-01,"Quake III Arena",46000,8,2
2001-12-01,"Unreal Tournament",46000,9,2
2001-12-01,"Aliens versus Predator 2",40000,1,1
2002-01-01,"Dota 2",3e+05,40,1
2002-01-01,"Age of Empires II",1000,1,1
2002-02-01,"Counter-Strike",26000,15,1
2002-02-01,"Age of Empires II",1000,1,1
2002-03-01,"Counter-Strike",1035,17,1
2002-03-01,"Age of Empires II",1000,1,1
2002-04-01,"StarCraft: Brood War",20338.4,6,2
2002-04-01,"Age of Empires II",5500,4,2
2002-04-01,"Super Smash Bros. Melee",0,3,1
2002-05-01,"Counter-Strike",18411.62,42,1
2002-05-01,"Quake III Arena",9666.1,0,1
2002-05-01,"StarCraft: Brood War",4913.16,1,1
2002-05-01,"Age of Empires II",2000,4,2
2002-06-01,"StarCraft: Brood War",28808.28,19,2
2002-06-01,"Age of Empires II",1000,1,1
2002-06-01,"Super Smash Bros. Melee",40,3,1
2002-07-01,"Counter-Strike",112100.15,169,3
2002-07-01,"Age of Empires II",16450,9,4
2002-07-01,"Quake III Arena",9540.3,12,1
2002-07-01,"StarCraft: Brood War",2000,3,1
2002-08-01,"Return to Castle Wolfenstein",53000,30,1
2002-08-01,"Quake III Arena",40000,5,1
2002-08-01,"Age of Empires II",8850,14,8
2002-08-01,"Capcom vs. SNK 2",0,3,1
2002-08-01,"Marvel vs. Capcom 2",0,3,1
2002-08-01,"Super Street Fighter II Turbo",0,3,1
2002-09-01,"Counter-Strike",5856.64,6,1
2002-09-01,"Age of Empires II",5116,5,3
2002-09-01,"Age of Empires",100,3,1
2002-10-01,"StarCraft: Brood War",33884.42,18,3
2002-10-01,"Counter-Strike",9791.02,40,1
2002-10-01,"Age of Empires II",1000,1,1
2002-11-01,"Counter-Strike",86000,55,2
2002-11-01,"Age of Empires II",44000,9,2
2002-11-01,"FIFA 2002 World Cup",43000,8,1
2002-11-01,"Quake III Arena",43000,8,1
2002-11-01,"StarCraft: Brood War",43000,8,1
2002-11-01,"Unreal Tournament",43000,8,1
2002-11-01,"Halo: Combat Evolved",5000,21,2
2002-11-01,"Unreal Tournament 2003",4000,8,4
2002-11-01,"WarCraft III",106,1,1
2002-12-01,"Counter-Strike",141800.45,145,4
2002-12-01,"WarCraft III",31179.25,11,3
2002-12-01,"Unreal Tournament 2003",30000,16,1
2002-12-01,"Return to Castle Wolfenstein",14424.3,0,1
2002-12-01,"NASCAR Thunder 2002",7679.25,0,1
2002-12-01,"Star Wars Jedi Knight II: Jedi Outcast",7679.25,0,1
2002-12-01,"Age of Empires II",5950,13,2
2003-01-01,"Age of Empires II",10500,16,3
2003-01-01,"StarCraft: Brood War",6051.2,6,1
2003-01-01,"Super Smash Bros. Melee",2050,7,2
2003-01-01,"Counter-Strike",1280,30,2
2003-02-01,"StarCraft: Brood War",24975.04,16,1
2003-02-01,"Counter-Strike",2666.67,32,3
2003-02-01,"Age of Empires II",380,4,2
2003-03-01,"Counter-Strike",22817.54,65,4
2003-03-01,"Halo: Combat Evolved",12500,0,1
2003-03-01,"Super Smash Bros. Melee",12500,3,1
2003-03-01,"Tekken 4",12500,0,1
2003-03-01,"Unreal Tournament 2003",12500,0,1
2003-03-01,"WarCraft III",8081.27,6,1
2003-04-01,"Counter-Strike",51906.6,40,3
2003-04-01,"WarCraft III",15741.88,3,1
2003-04-01,"Unreal Tournament 2003",15199.05,0,1
2003-04-01,"Halo: Combat Evolved",14950,32,5
2003-04-01,"Quake III Arena",8663.46,3,2
2003-04-01,"StarCraft: Brood War",7265.55,2,2
2003-04-01,"Age of Empires II",1980,5,3
2003-04-01,"Age of Mythology",1600,3,1
2003-05-01,"Counter-Strike",20355.3,52,6
2003-05-01,"Age of Empires II",760,6,4
2003-05-01,"Age of Empires",625,4,1
2003-06-01,"Counter-Strike",60804.35,63,5
2003-06-01,"StarCraft: Brood War",44018,40,2
2003-06-01,"WarCraft III",27887.45,4,1
2003-06-01,"NASCAR Thunder 2003",5933.5,0,1
2003-06-01,"Age of Empires II",380,4,2
2003-07-01,"Counter-Strike",135189.2,127,6
2003-07-01,"StarCraft: Brood War",35839.25,28,3
2003-07-01,"Unreal Tournament 2003",25617.5,9,3
2003-07-01,"WarCraft III",20500,11,3
2003-07-01,"Quake III Arena",10000,4,1
2003-07-01,"Age of Empires II",200,1,1
2003-07-01,"Age of Mythology",200,1,2
2003-08-01,"Counter-Strike",218835.22,126,5
2003-08-01,"Quake III Arena",76800,23,3
2003-08-01,"Unreal Tournament 2003",9457.36,3,1
2003-08-01,"Age of Empires II",7000,8,1
2003-08-01,"WarCraft III",6755.26,4,1
2003-08-01,"FIFA 03",5066.44,3,1
2003-08-01,"Age of Mythology",3000,8,1
2003-08-01,"Super Smash Bros. Melee",1000,1,1
2003-08-01,"Capcom vs. SNK 2",0,3,1
2003-08-01,"Guilty Gear XX",0,3,1
2003-08-01,"Marvel vs. Capcom 2",0,3,1
2003-08-01,"Soul Calibur II",0,3,1
2003-08-01,"Street Fighter III: 3rd Strike",0,3,1
2003-08-01,"Super Street Fighter II Turbo",0,3,1
2003-08-01,"Tekken 4",0,3,1
2003-08-01,"Tekken Tag Tournament",0,3,1
2003-08-01,"Virtua Fighter 4: Evolution",0,3,1
2003-09-01,"Counter-Strike",52342.44,51,5
2003-09-01,"WarCraft III",8113.13,17,6
2003-09-01,"StarCraft: Brood War",2329.2,4,1
2003-09-01,"Day of Defeat",880.41,6,1
2003-10-01,"StarCraft: Brood War",90848.8,58,3
2003-10-01,"Counter-Strike",77962.88,90,7
2003-10-01,"WarCraft III",49962.48,12,6
2003-10-01,"Age of Mythology",49000,8,2
2003-10-01,"FIFA 03",49000,7,2
2003-10-01,"Unreal Tournament 2003",49000,8,2
2003-10-01,"Halo: Combat Evolved",40700,14,3
2003-10-01,"Gran Turismo 3: A-Spec",1500,3,1
2003-10-01,"Madden NFL 2004",1500,3,1
2003-10-01,"Soul Calibur II",1500,3,1
2003-10-01,"Age of Empires II",1000,4,1
2003-11-01,"StarCraft: Brood War",65511.35,27,3
2003-11-01,"Counter-Strike",51610.64,124,12
2003-11-01,"WarCraft III",42562.34,29,9
2003-11-01,"Halo: Combat Evolved",9000,32,2
2003-11-01,"Age of Empires II",3347.02,7,2
2003-11-01,"Age of Mythology",1600,4,1
2003-12-01,"Counter-Strike",126187.15,121,5
2003-12-01,"Halo: Combat Evolved",30000,16,1
2003-12-01,"WarCraft III",12028.52,4,1
2003-12-01,"Live for Speed",2491.62,5,1
2003-12-01,"Age of Empires II",2150,15,2
2003-12-01,"FIFA 04",0,0,1
2004-01-01,"StarCraft: Brood War",102004.09,19,3
2004-01-01,"WarCraft III",89700,23,5
2004-01-01,"Counter-Strike",77529.3,93,6
2004-01-01,"Age of Empires II",5900,14,4
2004-01-01,"Age of Mythology",4978,11,2
2004-01-01,"Super Smash Bros. Melee",1682.5,6,3
2004-02-01,"StarCraft: Brood War",38128.9,46,1
2004-02-01,"Counter-Strike",13614.55,50,4
2004-02-01,"Halo: Combat Evolved",13500,20,3
2004-02-01,"WarCraft III",1600,4,1
2004-03-01,"Counter-Strike",30220.45,125,7
2004-03-01,"StarCraft: Brood War",25871.1,16,1
2004-03-01,"Quake III Arena",1500,8,1
2004-03-01,"Halo: Combat Evolved",825,8,2
2004-04-01,"Counter-Strike",42681.96,84,7
2004-04-01,"StarCraft: Brood War",39368.63,7,2
2004-04-01,"WarCraft III",21048.08,8,3
2004-04-01,"Halo: Combat Evolved",20235,41,5
2004-04-01,"Age of Mythology",150,2,1
2004-05-01,"Counter-Strike",40662.88,109,11
2004-05-01,"WarCraft III",15769.77,20,11
2004-05-01,"Age of Empires II",300,2,1
2004-06-01,"Counter-Strike",57327.74,158,10
2004-06-01,"WarCraft III",28285.85,25,9
2004-06-01,"Age of Empires II",25000,37,1
2004-06-01,"FIFA 04",0,0,1
2004-06-01,"Live for Speed",0,1,1
2004-07-01,"Counter-Strike",218264.97,198,10
2004-07-01,"StarCraft: Brood War",94246.86,22,2
2004-07-01,"Counter-Strike: Condition Zero",38575.3,66,1
2004-07-01,"WarCraft III",35325.14,19,8
2004-07-01,"Pro Evolution Soccer 3",25000,8,1
2004-07-01,"Quake III Arena",20000,17,1
2004-07-01,"Painkiller",10000,4,1
2004-07-01,"Unreal Tournament 2004",10000,4,1
2004-07-01,"Age of Empires II",700,2,1
2004-07-01,"Super Smash Bros. Melee",500,2,2
2004-07-01,"Age of Mythology",200,4,1
2004-08-01,"Counter-Strike",128249.95,177,7
2004-08-01,"Quake III Arena",90000,15,2
2004-08-01,"StarCraft: Brood War",61556.61,23,3
2004-08-01,"Halo: Combat Evolved",60448,14,4
2004-08-01,"Doom 3",60000,5,1
2004-08-01,"Call of Duty",50000,51,1
2004-08-01,"Unreal Tournament 2004",50000,25,1
2004-08-01,"WarCraft III",42541.43,17,11
2004-08-01,"Painkiller",25000,8,1
2004-08-01,"Super Smash Bros. Melee",1712,12,2
2004-08-01,"Age of Empires II",1000,5,2
2004-08-01,"Capcom vs. SNK 2",0,3,1
2004-08-01,"Guilty Gear XX",0,3,1
2004-08-01,"Marvel vs. Capcom 2",0,3,1
2004-08-01,"Soul Calibur II",0,3,1
2004-08-01,"Street Fighter III: 3rd Strike",0,3,1
2004-08-01,"Super Street Fighter II Turbo",0,3,1
2004-08-01,"Tekken 4",0,3,1
2004-08-01,"Tekken Tag Tournament",0,3,1
2004-08-01,"Virtua Fighter 4: Evolution",0,3,1
2004-09-01,"Counter-Strike",39832.96,81,7
2004-09-01,"Halo: Combat Evolved",20448,9,5
2004-09-01,"WarCraft III",19631.03,33,6
2004-09-01,"Unreal Tournament 2004",6512.41,8,1
2004-09-01,"Super Smash Bros. Melee",1000,3,1
2004-09-01,"Age of Empires II",487.07,3,2
2004-10-01,"Doom 3",120748.16,1,1
2004-10-01,"StarCraft: Brood War",109080,14,3
2004-10-01,"Counter-Strike: Condition Zero",85000,15,1
2004-10-01,"Halo: Combat Evolved",68000,21,3
2004-10-01,"WarCraft III",51189.23,9,5
2004-10-01,"FIFA 04",40000,3,1
2004-10-01,"Unreal Tournament 2004",40000,3,1
2004-10-01,"Counter-Strike",38498.7,93,7
2004-10-01,"Need for Speed: Underground",35000,3,1
2004-10-01,"Project Gotham Racing 2",35000,3,1
2004-10-01,"Super Smash Bros. Melee",5750,7,2
2004-10-01,"Soul Calibur II",2700,2,1
2004-10-01,"Gran Turismo 3: A-Spec",1750,3,1
2004-11-01,"Counter-Strike",65601.04,109,8
2004-11-01,"WarCraft III",29521.78,23,9
2004-11-01,"StarCraft: Brood War",28176.96,16,1
2004-11-01,"Age of Empires II",658.13,2,1
2004-12-01,"Counter-Strike",150167.17,159,8
2004-12-01,"Counter-Strike: Condition Zero",38575.3,60,1
2004-12-01,"Doom 3",27000,8,1
2004-12-01,"Painkiller",20000,16,1
2004-12-01,"WarCraft III",18776.59,19,4
2004-12-01,"Age of Empires II",11520,76,3
2004-12-01,"Day of Defeat",10000,18,1
2004-12-01,"Age of Mythology",8000,8,1
2004-12-01,"FIFA 05",0,0,1
2004-12-01,"Live for Speed",0,1,1
2005-01-01,"StarCraft: Brood War",116514.19,20,3
2005-01-01,"Counter-Strike",19815.45,40,3
2005-01-01,"WarCraft III",5024.02,4,2
2005-01-01,"Halo 2",5000,8,2
2005-01-01,"Super Smash Bros. Melee",4112,20,4
2005-01-01,"Age of Empires II",50,1,1
2005-02-01,"StarCraft: Brood War",132115.99,14,3
2005-02-01,"Counter-Strike",39490.02,105,8
2005-02-01,"Halo 2",5000,12,2
2005-02-01,"Counter-Strike: Source",4800,14,2
2005-02-01,"WarCraft III",1615,4,2
2005-02-01,"Super Smash Bros. Melee",1250,5,2
2005-02-01,"Age of Empires II",200,1,1
2005-03-01,"Counter-Strike",162882.2,143,9
2005-03-01,"WarCraft III",58470.46,18,3
2005-03-01,"Painkiller",50000,16,1
2005-03-01,"StarCraft: Brood War",43217.61,19,2
2005-03-01,"Halo 2",15000,15,5
2005-03-01,"Unreal Tournament 2004",13470.46,3,1
2005-03-01,"Age of Empires II",8000,8,1
2005-03-01,"Super Smash Bros. Melee",1250,6,2
2005-03-01,"FIFA 05",0,3,1
2005-03-01,"Need for Speed: Underground 2",0,3,1
2005-03-01,"Project Gotham Racing 2",0,3,1
2005-04-01,"Counter-Strike",10789.93,77,4
2005-04-01,"StarCraft: Brood War",6913.61,3,1
2005-04-01,"Halo 2",5000,12,2
2005-04-01,"WarCraft III",4364.5,3,1
2005-04-01,"Age of Empires II",2000,4,1
2005-04-01,"Super Smash Bros. Melee",1250,5,2
2005-05-01,"Counter-Strike",119372.35,196,10
2005-05-01,"Painkiller",1e+05,21,2
2005-05-01,"WarCraft III",7069.09,21,4
2005-05-01,"Quake III Arena",3497.09,3,2
2005-05-01,"StarCraft: Brood War",2704.76,7,2
2005-05-01,"Age of Empires II",2000,5,1
2005-05-01,"Counter-Strike: Source",1610.3,10,1
2005-06-01,"Counter-Strike",107360.46,124,7
2005-06-01,"WarCraft III",59811.51,27,7
2005-06-01,"Painkiller",50000,16,1
2005-06-01,"Age of Empires II",15000,35,2
2005-06-01,"FIFA 05",9427.07,0,1
2005-06-01,"Halo 2",5450,16,3
2005-06-01,"StarCraft: Brood War",4552.42,4,2
2005-06-01,"Super Smash Bros. Melee",3230,14,3
2005-06-01,"Live for Speed",1812.9,5,1
2005-06-01,"Age of Mythology",500,2,1
2005-07-01,"Counter-Strike",345241.52,229,11
2005-07-01,"StarCraft: Brood War",137098.82,32,3
2005-07-01,"WarCraft III",105000,26,3
2005-07-01,"Counter-Strike: Source",56500,49,2
2005-07-01,"Painkiller",50000,16,1
2005-07-01,"Pro Evolution Soccer 4",40000,8,1
2005-07-01,"Day of Defeat",30000,23,1
2005-07-01,"Halo 2",15900,19,5
2005-07-01,"Gran Turismo 4",12000,4,1
2005-07-01,"Quake III Arena",12000,4,1
2005-07-01,"Unreal Tournament 2004",12000,4,1
2005-07-01,"Halo: Combat Evolved",3675,11,3
2005-07-01,"Super Smash Bros. Melee",1252.96,11,3
2005-07-01,"Age of Empires II",716.91,2,1
2005-08-01,"Counter-Strike",105884.4,153,11
2005-08-01,"WarCraft III",58731.05,29,6
2005-08-01,"StarCraft: Brood War",57806.97,11,6
2005-08-01,"Doom 3",50000,3,1
2005-08-01,"Wolfenstein: Enemy Territory",50000,19,1
2005-08-01,"Halo 2",34000,32,9
2005-08-01,"Quake III Arena",34000,7,3
2005-08-01,"Quake II",20000,3,1
2005-08-01,"Age of Empires II",9900,11,3
2005-08-01,"Age of Mythology",4000,4,1
2005-08-01,"Quake 4",4000,2,1
2005-08-01,"Battlefield 2",3148.82,0,1
2005-08-01,"Super Smash Bros. Melee",1800,7,4
2005-08-01,"Unreal Tournament 2004",944.65,4,3
2005-08-01,"Call of Duty",629.77,0,1
2005-08-01,"Counter-Strike: Source",629.77,0,1
2005-08-01,"Need for Speed: Underground 2",629.48,3,1
2005-08-01,"Capcom vs. SNK 2",0,3,1
2005-08-01,"Guilty Gear XX #Reload",0,3,1
2005-08-01,"Marvel vs. Capcom 2",0,3,1
2005-08-01,"Street Fighter III: 3rd Strike",0,3,1
2005-08-01,"Super Street Fighter II Turbo",0,3,1
2005-08-01,"Tekken 5",0,3,2
2005-08-01,"Tekken Tag Tournament",0,3,1
2005-09-01,"Counter-Strike",73335.28,138,11
2005-09-01,"Painkiller",50000,16,1
2005-09-01,"Halo 2",14500,18,3
2005-09-01,"WarCraft III",6685.62,11,3
2005-09-01,"Quake III Arena",6134.97,8,1
2005-09-01,"StarCraft: Brood War",3500,3,1
2005-09-01,"Counter-Strike: Source",1402.3,10,3
2005-09-01,"Super Smash Bros. Melee",1250,6,2
2005-09-01,"Pro Evolution Soccer 4",550.64,3,1
2005-10-01,"Painkiller",150000,24,3
2005-10-01,"Counter-Strike",80958.36,112,8
2005-10-01,"WarCraft III",22500,6,2
2005-10-01,"Halo 2",21000,32,2
2005-10-01,"StarCraft: Brood War",13000,2,1
2005-10-01,"Super Smash Bros. Melee",6000,7,2
2005-10-01,"Age of Empires II",2500,8,1
2005-10-01,"Counter-Strike: Source",603.85,25,2
2005-11-01,"Painkiller",510000,32,1
2005-11-01,"Counter-Strike: Source",85000,15,1
2005-11-01,"StarCraft: Brood War",70665.01,31,3
2005-11-01,"Halo 2",56000,31,3
2005-11-01,"WarCraft III",51966.13,34,5
2005-11-01,"Counter-Strike",37556.16,157,5
2005-11-01,"FIFA 05",35000,3,1
2005-11-01,"Need for Speed: Underground 2",35000,3,1
2005-11-01,"Warhammer 40,000: Dawn of War",35000,3,1
2005-11-01,"Dead or Alive Ultimate",30000,3,1
2005-11-01,"Quake 4",14456.95,13,3
2005-11-01,"Super Smash Bros. Melee",8677.5,13,4
2005-11-01,"Defense of the Ancients",1736.36,0,1
2005-11-01,"Quake III Arena",1041.81,6,1
2005-11-01,"Unreal Tournament 2004",1041.81,6,1
2005-11-01,"FIFA 06",694.54,4,1
2005-11-01,"Need for Speed: Most Wanted",694.54,4,1
2005-12-01,"Counter-Strike",251755.3,198,11
2005-12-01,"WarCraft III",57410.63,18,3
2005-12-01,"Quake 4",33323.75,35,3
2005-12-01,"FIFA 06",26000,2,1
2005-12-01,"Halo 2",21000,32,2
2005-12-01,"FIFA 05",13300.94,0,2
2005-12-01,"Super Smash Bros. Melee",6000,6,2
2005-12-01,"StarCraft: Brood War",4670.11,4,1
2005-12-01,"Live for Speed",1010.87,3,1
2005-12-01,"Age of Empires II",450,9,1
2006-01-01,"StarCraft: Brood War",107729.9,37,3
2006-01-01,"Madden NFL 2006",1e+05,1,1
2006-01-01,"Counter-Strike: Source",21000,60,1
2006-01-01,"WarCraft III",14338.37,16,2
2006-01-01,"Counter-Strike",5302.57,25,3
2006-01-01,"Quake 4",3200,6,1
2006-01-01,"Wolfenstein: Enemy Territory",1500,18,1
2006-02-01,"Counter-Strike",101777.85,192,8
2006-02-01,"Halo 2",68750,32,2
2006-02-01,"Age of Empires II",19979,44,2
2006-02-01,"Super Smash Bros. Melee",19250,12,2
2006-02-01,"WarCraft III",18128.13,7,2
2006-02-01,"StarCraft: Brood War",15000,21,2
2006-02-01,"Quake 4",13092.34,18,4
2006-02-01,"Quake III Arena",2128.13,4,1
2006-02-01,"Counter-Strike: Source",1198.56,10,1
2006-03-01,"Counter-Strike",92804.77,110,8
2006-03-01,"Counter-Strike: Source",40887.05,65,4
2006-03-01,"Quake 4",40000,20,4
2006-03-01,"StarCraft: Brood War",37540,26,2
2006-03-01,"WarCraft III",22000,9,3
2006-03-01,"Call of Duty 2",2970.79,0,2
2006-03-01,"FIFA 06",200,1,1
2006-03-01,"Need for Speed: Most Wanted",0,3,1
2006-04-01,"Counter-Strike",48410.57,108,9
2006-04-01,"Halo 2",38975,26,2
2006-04-01,"Super Smash Bros. Melee",9775,13,2
2006-04-01,"StarCraft: Brood War",9084.8,19,2
2006-04-01,"Battlefield 2",8855.39,0,2
2006-04-01,"Counter-Strike: Source",8000.66,40,4
2006-04-01,"Quake 4",6222.83,9,3
2006-04-01,"Call of Duty 2",619.88,0,1
2006-04-01,"Age of Empires III",500,3,1
2006-05-01,"Counter-Strike",172812.19,221,6
2006-05-01,"WarCraft III",47550,16,3
2006-05-01,"Halo 2",38975,16,2
2006-05-01,"StarCraft: Brood War",8896,19,3
2006-05-01,"Super Smash Bros. Melee",5275,18,2
2006-05-01,"Call of Duty 2",3000,0,1
2006-05-01,"Counter-Strike: Source",1878.84,20,2
2006-06-01,"Counter-Strike",136497.9,137,17
2006-06-01,"StarCraft: Brood War",124532.47,35,4
2006-06-01,"WarCraft III",57008.68,37,6
2006-06-01,"Halo 2",38975,27,2
2006-06-01,"Quake 4",18000,6,2
2006-06-01,"FIFA 06",9856.52,0,1
2006-06-01,"Battlefield 2",6571.01,0,1
2006-06-01,"Super Smash Bros. Melee",5275,19,2
2006-06-01,"Counter-Strike: Source",2707.88,30,2
2006-06-01,"Live for Speed",1895.48,5,1
2006-06-01,"Age of Empires II",200,3,1
2006-07-01,"Counter-Strike",540229.04,319,11
2006-07-01,"Quake 4",111000,20,2
2006-07-01,"StarCraft: Brood War",73193.08,16,1
2006-07-01,"Halo 2",62975,32,4
2006-07-01,"Battlefield 2",50000,0,1
2006-07-01,"WarCraft III",47543.74,17,13
2006-07-01,"Gran Turismo 4",32000,4,1
2006-07-01,"Pro Evolution Soccer 5",32000,4,1
2006-07-01,"TrackMania Nations",32000,4,1
2006-07-01,"Super Smash Bros. Melee",18000,34,5
2006-07-01,"Dead or Alive 4",15000,2,1
2006-07-01,"Forza Motorsport 2",15000,2,1
2006-07-01,"Day of Defeat",10300,1,1
2006-07-01,"Project Gotham Racing 3",9000,3,1
2006-07-01,"Ghost Recon Advanced Warfighter",8000,0,1
2006-07-01,"Wolfenstein: Enemy Territory",1000,22,1
2006-07-01,"Age of Empires II",153.54,3,1
2006-08-01,"Counter-Strike",182686.53,187,11
2006-08-01,"Quake 4",78129.76,20,5
2006-08-01,"WarCraft III",59518.46,51,9
2006-08-01,"Halo 2",38975,28,2
2006-08-01,"Wolfenstein: Enemy Territory",30000,15,1
2006-08-01,"StarCraft: Brood War",21797.89,20,3
2006-08-01,"FIFA 06",16564.37,13,3
2006-08-01,"Super Smash Bros. Melee",12175,12,4
2006-08-01,"Counter-Strike: Source",11083.84,35,3
2006-08-01,"Capcom vs. SNK 2",10250,8,1
2006-08-01,"Dead or Alive 4",10250,8,1
2006-08-01,"Guilty Gear XX Slash",10250,6,1
2006-08-01,"Hyper Street Fighter II",10250,8,1
2006-08-01,"Marvel vs. Capcom 2",10250,8,1
2006-08-01,"Street Fighter III: 3rd Strike",10250,8,1
2006-08-01,"Tekken 5",10250,8,1
2006-08-01,"Battlefield 2",9482.11,0,1
2006-08-01,"Need for Speed: Most Wanted",7000,8,2
2006-08-01,"Quake III Arena",2797.89,8,1
2006-08-01,"Call of Duty 2",663.74,0,1
2006-08-01,"Age of Empires",42.25,10,1
2006-09-01,"Counter-Strike",207321.6,182,12
2006-09-01,"WarCraft III",74724.89,23,11
2006-09-01,"StarCraft: Brood War",27300,11,3
2006-09-01,"Quake III Arena",11500,4,1
2006-09-01,"Call of Duty 2",9500,0,1
2006-09-01,"Quake 4",9000,0,1
2006-09-01,"Wolfenstein: Enemy Territory",3850.2,19,1
2006-09-01,"Age of Empires",247,15,1
2006-10-01,"Counter-Strike",207673.01,105,8
2006-10-01,"Halo 2",97425,32,2
2006-10-01,"StarCraft: Brood War",90560,29,7
2006-10-01,"WarCraft III",71637.78,16,7
2006-10-01,"Warhammer 40,000: Dawn of War",43000,3,1
2006-10-01,"Quake 4",33861.29,17,6
2006-10-01,"Project Gotham Racing 3",28300,4,2
2006-10-01,"Super Smash Bros. Melee",28284,18,3
2006-10-01,"Need for Speed: Most Wanted",28000,5,2
2006-10-01,"Dead or Alive 4",27800,4,2
2006-10-01,"FIFA 06",27000,3,1
2006-10-01,"Counter-Strike: Source",16386.77,46,4
2006-10-01,"FIFA 07",1300,2,1
2006-11-01,"StarCraft: Brood War",215067.85,47,7
2006-11-01,"Halo 2",198000,13,2
2006-11-01,"Counter-Strike",150242.11,286,13
2006-11-01,"TrackMania Nations",40000,10,1
2006-11-01,"Counter-Strike: Source",19869.62,50,4
2006-11-01,"Super Smash Bros. Melee",18000,8,2
2006-11-01,"Quake III Arena",17387.74,12,2
2006-11-01,"WarCraft III",17146.91,12,4
2006-11-01,"Call of Duty 2",14494.87,0,2
